marital,word,n,tf,idf,tf_idf
married,husband,2475,0.02063772659806881,0,0
single,friend,2290,0.021758339905175443,0,0
married,friend,1671,0.01393359238196888,0,0
married,son,1645,0.013716792021746744,0,0
married,daughter,1530,0.012757867351533446,0,0
married,family,1232,0.01027300168437203,0,0
married,home,1044,0.008705368310458116,0,0
single,boyfriend,968,0.009197411802711716,0,0
married,love,804,0.006704134216099928,0,0
married,dinner,787,0.006562380134416223,0,0
single,found,771,0.007325624483358196,0,0
married,found,755,0.0062955489218351314,0,0
single,family,744,0.007069085104563551,0,0
single,moment,732,0.006955067602877041,0,0
single,job,726,0.006898058852033788,0,0
married,birthday,724,0.006037056184647199,0,0
married,moment,720,0.006003702283074563,0,0
married,night,716,0.005970348381501926,0,0
single,home,699,0.0066415194732391426,0,0
married,school,681,0.005678501742741357,0,0
married,kids,643,0.00536163967780131,0,0
married,house,629,0.005244901022297083,0,0
married,morning,622,0.00518653169454497,0,0
single,dinner,611,0.005805391127538077,0,0
single,love,610,0.005795889669064201,0,0
married,life,593,0.004944715908143355,0,0
single,birthday,587,0.00557735612416506,0,0
single,life,575,0.00546333862247855,0,0
married,job,561,0.004677884695562263,0,0
married,surprise,556,0.004636192318596468,0,0
single,night,547,0.00519729778521003,0,0
single,dog,542,0.005149790492840651,0,0
married,started,533,0.004444407384553808,0,0
married,bought,532,0.004436068909160649,0,0
married,visit,532,0.004436068909160649,0,0
single,bought,526,0.0049977671572586395,0,0
married,received,515,0.004294314827476944,0,0
single,received,510,0.004845743821676627,0,0
married,dog,502,0.004185914647365876,0,0
married,baby,493,0.004110868368827444,0,0
single,surprise,491,0.004665216110672988,0,0
single,talked,485,0.004608207359829734,0,0
married,event,476,0.003969114287143739,0,0
single,started,476,0.004522694233564852,0,0
single,sister,464,0.004408676731878343,0,0
single,event,454,0.004313662147139586,0,0
single,morning,450,0.004275656313244083,0,0
single,hours,446,0.00423765047934858,0,0
married,walk,442,0.0036856061237763287,0,0
married,im,440,0.0036689291729900104,0,0
single,brother,439,0.00417114027003145,0,0
single,visit,431,0.004095128602240444,0,0
married,hours,426,0.0035521905174857827,0,0
single,house,426,0.004047621309871065,0,0
married,talked,423,0.0035271750913063054,0,0
married,told,423,0.0035271750913063054,0,0
single,mom,417,0.003962108183606184,0,0
married,spend,414,0.0034521288127678735,0,0
married,fun,413,0.0034437903373747145,0,0
married,sister,412,0.003435451861981555,0,0
single,finished,408,0.003876595057341302,0,0
married,makes,404,0.0033687440588362825,0,0
married,mother,399,0.003327051681870487,0,0
married,shopping,399,0.003327051681870487,0,0
single,school,398,0.0037815804726025444,0,0
single,im,391,0.0037150702632854143,0,0
single,mother,382,0.0036295571370205328,0,0
single,walk,381,0.003620055678546657,0,0
married,game,379,0.0031602821740073046,0,0
single,car,376,0.003572548386177278,0,0
married,excited,375,0.003126928272434668,0,0
married,called,371,0.0030935743708620316,0,0
married,gift,371,0.0030935743708620316,0,0
married,car,368,0.0030685589446825543,0,0
married,movie,365,0.003043543518503077,0,0
single,game,357,0.003392020675173639,0,0
single,cat,354,0.003363516299752012,0,0
married,celebrated,342,0.0028517585844604174,0,0
married,lunch,338,0.0028184046828877807,0,0
single,excited,338,0.00321149296417,0,0
married,book,334,0.0027850507813151444,0,0
single,money,331,0.00314498275485287,0,0
married,mom,330,0.0027516968797425077,0,0
married,completed,329,0.0027433584043493487,0,0
married,weekend,328,0.0027350199289561897,0,0
single,told,327,0.003106976920957367,0,0
single,movie,325,0.0030879740040096154,0,0
married,beautiful,321,0.0026766506012040757,0,0
single,spend,319,0.003030965253166361,0,0
single,son,318,0.0030214637946924853,0,0
single,ate,316,0.003002460877744734,0.22314355131420976,6.699797829419393e-4
single,book,316,0.003002460877744734,0,0
single,parents,315,0.002992959419270858,0,0
married,live,310,0.0025849273718793254,0,0
single,food,308,0.002926449209953728,0,0
married,weeks,307,0.002559911945699848,0,0
single,met,306,0.0029074462930059764,0,0
married,food,305,0.00254323499491353,0,0
married,money,305,0.00254323499491353,0,0
single,called,305,0.0028979448345321005,0,0
single,shopping,303,0.002878941917584349,0,0
single,live,302,0.0028694404591104736,0,0
married,finished,301,0.0025098810933408934,0,0
single,trip,297,0.002821933166741095,0,0
married,eat,294,0.00245151176558878,0,0
single,people,294,0.0027934287913194676,0,0
married,trip,293,0.0024431732901956204,0,0
single,celebrated,291,0.0027649244158978402,0,0
single,phone,289,0.002745921498950089,0,0
single,weeks,289,0.002745921498950089,0,0
married,didnt,288,0.002401480913229825,0,0
single,fun,288,0.002736420040476213,0,0
single,weekend,288,0.002736420040476213,0,0
married,children,286,0.002384803962443507,0,0
single,laugh,282,0.0026794112896329587,0,0
single,class,281,0.002669909831159083,0,0
single,lunch,281,0.002669909831159083,0,0
married,party,277,0.002309757683905075,0,0
single,eat,275,0.0026129010803158286,0,0
married,cooked,273,0.002276403782332438,0,0
married,helped,273,0.002276403782332438,0,0
married,brother,272,0.002268065306939279,0,0
married,laugh,272,0.002268065306939279,0,0
single,dad,272,0.0025843967048942013,0,0
married,child,270,0.002251388356152961,0,0
married,vacation,269,0.002243049880759802,0,0
single,daughter,268,0.0025463908709986985,0,0
single,gift,265,0.002517886495577071,0,0
single,completed,264,0.002508385037103195,0,0
single,didnt,264,0.002508385037103195,0,0
single,moved,263,0.0024988835786293197,0,0
married,person,262,0.002184680553007688,0,0
single,baby,262,0.002489382120155444,0,0
married,read,259,0.0021596651268282105,0.22314355131420976,4.8191534604990013e-4
married,spent,259,0.0021596651268282105,0,0
married,planned,258,0.0021513266514350516,0,0
single,ive,257,0.002441874827786065,0,0
married,won,256,0.0021346497006487332,0,0
single,free,254,0.0024133704523644378,0,0
single,hard,254,0.0024133704523644378,0,0
single,spent,254,0.0024133704523644378,0,0
married,cleaned,253,0.002109634274469256,0,0
married,class,252,0.002101295799076097,0,0
married,phone,251,0.002092957323682938,0,0
single,planned,250,0.002375364618468935,0,0
married,brought,247,0.0020596034221103013,0,0
married,parents,246,0.0020512649467171423,0,0
married,cat,245,0.002042926471323983,0,0
married,people,242,0.0020179110451445056,0,0
single,beautiful,239,0.002270848575256302,0,0
single,delicious,239,0.002270848575256302,0,0
married,smile,236,0.001967880192785551,0,0
married,college,232,0.0019345262912129147,0,0
married,sleep,232,0.0019345262912129147,0,0
married,meet,230,0.0019178493404265963,0,0
single,college,230,0.00218533544899142,0,0
married,hug,228,0.0019011723896402782,0,0
single,buy,226,0.0021473296150959172,0,0
single,store,223,0.00211882523967429,0,0
married,hard,222,0.0018511415372813235,0,0
married,learned,222,0.0018511415372813235,0,0
single,graduation,221,0.0020998223227265385,0,0
married,moved,220,0.0018344645864950052,0,0
married,proud,218,0.001817787635708687,0,0
married,purchased,216,0.001801110684922369,0,0
single,won,213,0.0020238106549355325,0,0
divorced,friend,209,0.015100065024203453,0,0
single,smile,209,0.0019858048210400297,0,0
married,buy,207,0.0017260644063839367,0,0
married,store,207,0.0017260644063839367,0,0
married,bed,206,0.0017177259309907776,0,0
married,pay,206,0.0017177259309907776,0,0
single,restaurant,206,0.0019573004456184023,0,0
single,read,205,0.0019477989871445266,0.22314355131420976,4.346387832376505e-4
married,card,203,0.0016927105048113002,0,0
married,free,203,0.0016927105048113002,0,0
married,sitting,202,0.0016843720294181413,0,0
single,makes,202,0.0019192946117228995,0,0
